NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
ACL Metais Eireli (Brasil),Proveedor,Philip Morris International Inc.,supplier
Amundi Asset Management SAS,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Amundi Asset Management SAS,Inversionista,Kemet Blue Metals (México),shareholder
Amundi Asset Management SAS,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Amundi Asset Management SAS,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Amundi Asset Management SAS,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Amundi Asset Management SAS,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),Proveedor,Philip Morris International Inc.,supplier
BlackRock Inc.,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
BlackRock Inc.,Inversionista,Kemet Blue Metals (México),shareholder
BlackRock Inc.,Inversionista,LSM Brasil S.A. (Brasil),shareholder
BlackRock Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
BlackRock Inc.,Inversionista,Philip Morris International Inc.,shareholder
BlackRock Inc.,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
BlackRock Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
BNY Asset Management,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
BNY Asset Management,Inversionista,Kemet Blue Metals (México),shareholder
BNY Asset Management,Inversionista,LSM Brasil S.A. (Brasil),shareholder
BNY Asset Management,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
BNY Asset Management,Inversionista,Philip Morris International Inc.,shareholder
BNY Asset Management,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
BNY Asset Management,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Brookfield Corporation,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Brookfield Corporation,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Capital Research & Management Co.,Inversionista,Philip Morris International Inc.,shareholder
Credit Suisse Asset Management Inc.,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Credit Suisse Asset Management Inc.,Inversionista,Kemet Blue Metals (México),shareholder
Credit Suisse Asset Management Inc.,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Credit Suisse Asset Management Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Credit Suisse Asset Management Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Deutsche Asset & Wealth Management,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Deutsche Asset & Wealth Management,Inversionista,Kemet Blue Metals (México),shareholder
Deutsche Asset & Wealth Management,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Deutsche Asset & Wealth Management,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Dimensional Fund Advisors LP,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Dimensional Fund Advisors LP,Inversionista,Kemet Blue Metals (México),shareholder
Dimensional Fund Advisors LP,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Dimensional Fund Advisors LP,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Dimensional Fund Advisors LP,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Dimensional Fund Advisors LP,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Em Vinto (Bolivia),Proveedor,Philip Morris International Inc.,supplier
Fundsmith LLP,Inversionista,Philip Morris International Inc.,shareholder
Geode Capital Management Group LLC,Inversionista,Philip Morris International Inc.,shareholder
Geode Capital Management LLC,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Geode Capital Management LLC,Inversionista,Kemet Blue Metals (México),shareholder
Geode Capital Management LLC,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Geode Capital Management LLC,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Geode Capital Management LLC,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Geode Capital Management LLC,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Goldman Sachs Asset Management LP,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Goldman Sachs Asset Management LP,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Goldman Sachs Asset Management LP,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Goldman Sachs Asset Management LP,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Goldman Sachs Asset Management LP,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
JP Morgan Asset Management,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
JP Morgan Asset Management,Inversionista,Kemet Blue Metals (México),shareholder
JP Morgan Asset Management,Inversionista,LSM Brasil S.A. (Brasil),shareholder
JP Morgan Asset Management,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
JP Morgan Asset Management,Inversionista,Philip Morris International Inc.,shareholder
Kemet Blue Metals (México),Proveedor,Philip Morris International Inc.,supplier
LSM Brasil S.A. (Brasil),Proveedor,Philip Morris International Inc.,supplier
"Magnu's Minerais, Metais e Ligas Ltda. (Brasil)",Proveedor,Philip Morris International Inc.,supplier
Marsam Metals (Brasil),Proveedor,Philip Morris International Inc.,supplier
"Melt, Metais e Ligas S.A. (Brasil)",Proveedor,Philip Morris International Inc.,supplier
Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),Proveedor,Philip Morris International Inc.,supplier
Mineracao Taboca S.A. (Brasil),Proveedor,Philip Morris International Inc.,supplier
Minsur S.A. (Perú),Proveedor,Philip Morris International Inc.,supplier
Morgan Stanley Investment Management Inc.,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Morgan Stanley Investment Management Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Morgan Stanley Investment Management Inc.,Inversionista,Philip Morris International Inc.,shareholder
Norges Bank Investment Management,Inversionista,Kemet Blue Metals (México),shareholder
Norges Bank Investment Management,Inversionista,Kemet Blue Metals (México),shareholder
Norges Bank Investment Management,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Norges Bank Investment Management,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Norges Bank Investment Management,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Norges Bank Investment Management,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Northern Trust Global Investments,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Northern Trust Global Investments,Inversionista,Kemet Blue Metals (México),shareholder
Northern Trust Global Investments,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Northern Trust Global Investments,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Northern Trust Global Investments,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Operaciones Metalúrgicas S.A. (Bolivia),Proveedor,Philip Morris International Inc.,supplier
Philip Morris International Inc.,Matriz,CA Tabacalera Nacional,parent
Philip Morris International Inc.,Matriz,Compania Colombiana de Tabaco S.A.S.,parent
Philip Morris International Inc.,Matriz,Industrias Del Tabaco Alimentos y Bebidas S.A.,parent
Philip Morris International Inc.,Matriz,Massalin Particulares S.R.L.,parent
Philip Morris International Inc.,Matriz,Philip Morris Brasil Indústria e Comércio Ltda,parent
Philip Morris International Inc.,Matriz,Philip Morris Brasil S.A.,parent
Philip Morris International Inc.,Matriz,Philip Morris Chile Comercializadora limitada,parent
Philip Morris International Inc.,Matriz,"Philip Morris Cigatam Productos y Servicios, S. de R.L. de C.V.",parent
Philip Morris International Inc.,Matriz,"Philip Morris Cigatam Productos y Servicios, S. de R.L. de C.V.",parent
Philip Morris International Inc.,Matriz,Philip Morris Colombia S.A.,parent
Philip Morris International Inc.,Matriz,Philip Morris Latin America Services S.R.L.,parent
Philip Morris International Inc.,Matriz,"Philip Morris Mexico, S.A. de C.V.",parent
Philip Morris International Inc.,Matriz,"Philip Morris Mexico, S.A. de C.V.",parent
Philip Morris International Inc.,Matriz,"Philip Morris Panama, Sociedad en Comandita por Acciones",parent
Philip Morris International Inc.,Matriz,Philip Morris Peru S.A.,parent
Philip Morris International Inc.,Matriz,Profigen do Brazil LDTA,parent
Philip Morris International Inc.,Matriz,Tabacalera Andina Sa Tanasa,parent
Philip Morris International Inc.,Matriz,Tabacalera Centroamericana S. A. (Guatemala),parent
Philip Morris International Inc.,Matriz,"Tabacalera Costarricense, S. A.",parent
Philip Morris International Inc.,Matriz,Tabamark S.A.,parent
Planta Recuperadora de Metales SPA (Chile),Proveedor,Philip Morris International Inc.,supplier
Resind Industria e Comercio Ltda. (Brasil),Proveedor,Philip Morris International Inc.,supplier
Russell Investment Management LLC,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Russell Investment Management LLC,Inversionista,Kemet Blue Metals (México),shareholder
Russell Investment Management LLC,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Soft Metais Ltda. (Brasil),Proveedor,Philip Morris International Inc.,supplier
State Street Global Advisors Inc.,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
State Street Global Advisors Inc.,Inversionista,Kemet Blue Metals (México),shareholder
State Street Global Advisors Inc.,Inversionista,LSM Brasil S.A. (Brasil),shareholder
State Street Global Advisors Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
State Street Global Advisors Inc.,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
State Street Global Advisors Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,Kemet Blue Metals (México),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Teachers Insurance & Annuity Association-College Retirement Equities Fund,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Tower Research Capital LLC,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Tower Research Capital LLC,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
T. Rowe Price Group Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
T. Rowe Price Group Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
T. Rowe Price Group Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
T. Rowe Price Group Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Umicore Brasil Ltda. (Brasil),Proveedor,Philip Morris International Inc.,supplier
Van Eck Associates Corporation,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Van Eck Associates Corporation,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Van Eck Associates Corporation,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Vanguard Group Inc.,Inversionista,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),shareholder
Vanguard Group Inc.,Inversionista,Kemet Blue Metals (México),shareholder
Vanguard Group Inc.,Inversionista,LSM Brasil S.A. (Brasil),shareholder
Vanguard Group Inc.,Inversionista,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),shareholder
Vanguard Group Inc.,Inversionista,Philip Morris International Inc.,shareholder
Vanguard Group Inc.,Inversionista,Planta Recuperadora de Metales SPA (Chile),shareholder
Vanguard Group Inc.,Inversionista,Umicore Brasil Ltda. (Brasil),shareholder
Wellington Management Group LLP,Inversionista,Kemet Blue Metals (México),shareholder
Wellington Management Group LLP,Inversionista,Philip Morris International Inc.,shareholder
White Solder Metalurgia e Mineracao Ltda. (Brasil),Proveedor,Philip Morris International Inc.,supplier
